title,source,url,date,description
Reform or rights rollback? India's sweeping labour law overhaul sparks debate,BBC News,https://www.bbc.com/news/articles/cpwk28d5yzxo,2025-11-29,
"The kidnap gangs, jihadists and separatists wreaking havoc in Nigeria",BBC News,https://www.bbc.com/news/articles/c4g4jlgdyjdo,2025-11-29,
What's going on with fan disorder at European games?,BBC News,https://www.bbc.com/sport/football/articles/c75vz7lgr76o,2025-11-29,
We met on TV's Blind Date - we're still married after 34 years,BBC News,https://www.bbc.com/news/articles/cy8vj37w2v3o,2025-11-29,
'This was preventable': Anger and unanswered questions after the blaze,BBC News,https://www.bbc.com/news/articles/cn8e5j20g27o,2025-11-29,
Video shows speed at which fire spread,BBC News,https://www.bbc.com/news/videos/c3w7e2p48l7o,2025-11-29,
What we know so far,BBC News,https://www.bbc.com/news/articles/cdxe9r7wjgro,2025-11-29,
Trump says US will pause migration from 'third-world countries',BBC News,https://www.bbc.com/news/articles/cdxweyy157go,2025-11-29,
France to intercept small boats after pressure from UK,BBC News,https://www.bbc.com/news/articles/c1kpmm20zwwo,2025-11-29,
Thirteen killed in deadliest Israeli raid for months in southern Syria,BBC News,https://www.bbc.com/news/articles/cp89k31krz4o,2025-11-29,
Ex-president's daughter resigns over allegations she duped South Africans to fight for Russia,BBC News,https://www.bbc.com/news/articles/cx2dndy228xo,2025-11-29,
Nuns who ran away from care home to Alpine convent can stay - if they leave social media,BBC News,https://www.bbc.com/news/articles/c0l9z176lnlo,2025-11-29,
Afghans in US issue plea to Trump after Washington DC shooting,BBC News,https://www.bbc.com/news/articles/c0q5w8l88dvo,2025-11-29,
UN panel says Israel operating 'de facto policy of torture',BBC News,https://www.bbc.com/news/articles/ckglrdg6kz7o,2025-11-29,
Scores killed as floods sweep several Asian nations,BBC News,https://www.bbc.com/news/videos/cp9kxxy123do,2025-11-29,
Eight more arrested over fire in Hong Kong that killed at least 128 people,BBC News,https://www.bbc.com/news/articles/c79xd17dre3o,2025-11-29,
Hungary's Orban defies EU partners and meets Putin again in Moscow,BBC News,https://www.bbc.com/news/articles/c058lny3pdqo,2025-11-29,
"Lightning detected on Mars for the first time, scientists say",BBC News,https://www.bbc.com/news/articles/c0q5w13e58zo,2025-11-29,
Zelensky's top adviser resigns after Ukrainian anti-corruption raid on his home,BBC News,https://www.bbc.com/news/articles/ckg9nd2wddno,2025-11-29,
"Flight disruption warning as Airbus requests modifications to 6,000 planes",BBC News,https://www.bbc.com/news/live/cvg4y6g74ert,2025-11-29,
